D,Peh_finest,L1_FCDF_B,L1_CC,error_ratio_CC_over_FCDF
0.1,0.02594796279363144,1.6636716421363055e-05,1.8739010377445056e-05,1.1263647166205504
0.01,0.2538638797463577,1.213820158850355e-05,1.4830047035133862e-05,1.2217664146540324
0.001,2.5329545046295543,1.2782380607945359e-05,0.00011852170492837048,9.272271618535514
0.0003,8.441706192265741,1.283478575021563e-05,0.00023506817061624531,18.31492750958434
