n,h,gamma_pic,gamma_0,gamma_r,condition_a_holds,condition_b_holds
51,0.1697056274847714,0.02,0.04284084843231158,1.331791291700121,False,False
101,0.0848528137423857,0.01,0.010244558320770161,1.3364479045731983,False,False
201,0.04242640687119285,0.005,0.0018626551492309385,,True,False
401,0.021213203435596423,0.0025,0.0009313325746154692,,True,False
