n,h,L1_FCDF_B,order_FCDF_B,L1_unlimited,order_unlimited
51,0.1697056274847714,0.024727195576327438,,0.024746682868014642,
101,0.0848528137423857,0.0072132661529935,1.7773740643531604,0.00721326615300939,1.7785105922073277
201,0.04242640687119285,0.002067267236625286,1.8029277582388465,0.0020672672366286887,1.8029277582396501
401,0.021213203435596423,0.0006889510728040631,1.5852514628021432,0.000688951072798179,1.5852514628168393
